yearStart;locationAbbr;locationDesc;data_value;sample_size;age_years;locationId
2011;AL;Alabama;NULL;7304;NULL;1
2011;AL;Alabama;NULL;2581;NULL;1
2011;AL;Alabama;NULL;4723;NULL;1
2011;AL;Alabama;NULL;1153;NULL;1
2011;AL;Alabama;NULL;2402;NULL;1
2011;AL;Alabama;NULL;1925;NULL;1
2011;AL;Alabama;NULL;1812;NULL;1
2011;AL;Alabama;163;356;18 - 24;1
2011;AL;Alabama;352;598;25 - 34;1
2011;AL;Alabama;355;865;35 - 44;1
2011;AL;Alabama;380;1288;45 - 54;1
2011;AL;Alabama;364;1676;55 - 64;1
2011;AL;Alabama;271;2521;65 or older;1
2011;AL;Alabama;NULL;1112;NULL;1
2011;AL;Alabama;NULL;1367;NULL;1
2011;AL;Alabama;NULL;757;NULL;1
2011;AL;Alabama;NULL;861;NULL;1
2011;AL;Alabama;NULL;785;NULL;1
2011;AL;Alabama;NULL;1125;NULL;1
2011;AL;Alabama;NULL;1297;NULL;1
2011;AL;Alabama;NULL;5042;NULL;1
2011;AL;Alabama;NULL;1878;NULL;1
2011;AL;Alabama;NULL;115;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;61;NULL;1
2011;AL;Alabama;NULL;58;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;7304;NULL;1
2011;AL;Alabama;NULL;2581;NULL;1
2011;AL;Alabama;NULL;4723;NULL;1
2011;AL;Alabama;NULL;1153;NULL;1
2011;AL;Alabama;NULL;2402;NULL;1
2011;AL;Alabama;NULL;1925;NULL;1
2011;AL;Alabama;NULL;1812;NULL;1
2011;AL;Alabama;271;356;18 - 24;1
2011;AL;Alabama;319;598;25 - 34;1
2011;AL;Alabama;333;857;35 - 44;1
2011;AL;Alabama;358;1286;45 - 54;1
2011;AL;Alabama;389;1650;55 - 64;1
2011;AL;Alabama;390;2520;65 or older;1
2011;AL;Alabama;NULL;1112;NULL;1
2011;AL;Alabama;NULL;1367;NULL;1
2011;AL;Alabama;NULL;757;NULL;1
2011;AL;Alabama;NULL;861;NULL;1
2011;AL;Alabama;NULL;785;NULL;1
2011;AL;Alabama;NULL;1125;NULL;1
2011;AL;Alabama;NULL;1297;NULL;1
2011;AL;Alabama;NULL;5042;NULL;1
2011;AL;Alabama;NULL;1878;NULL;1
2011;AL;Alabama;NULL;115;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;61;NULL;1
2011;AL;Alabama;NULL;58;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;7231;NULL;1
2011;AL;Alabama;354;2408;65 or older;1
2011;AL;Alabama;NULL;110;NULL;1
2011;AL;Alabama;NULL;1844;NULL;1
2011;AL;Alabama;NULL;57;NULL;1
2011;AL;Alabama;NULL;1883;NULL;1
2011;AL;Alabama;NULL;1148;NULL;1
2011;AL;Alabama;NULL;4792;NULL;1
2011;AL;Alabama;NULL;852;NULL;1
2011;AL;Alabama;NULL;1912;NULL;1
2011;AL;Alabama;NULL;64;NULL;1
2011;AL;Alabama;418;1673;55 - 64;1
2011;AL;Alabama;NULL;792;NULL;1
2011;AL;Alabama;431;620;25 - 34;1
2011;AL;Alabama;NULL;1340;NULL;1
2011;AL;Alabama;NULL;1276;NULL;1
2011;AL;Alabama;450;355;18 - 24;1
2011;AL;Alabama;NULL;749;NULL;1
2011;AL;Alabama;NULL;4975;NULL;1
2011;AL;Alabama;NULL;2356;NULL;1
2011;AL;Alabama;476;1299;45 - 54;1
2011;AL;Alabama;NULL;2439;NULL;1
2011;AL;Alabama;501;876;35 - 44;1
2011;AL;Alabama;NULL;1105;NULL;1
2011;AL;Alabama;NULL;1074;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;7135;NULL;1
2011;AL;Alabama;NULL;2422;NULL;1
2011;AL;Alabama;NULL;4713;NULL;1
2011;AL;Alabama;NULL;1073;NULL;1
2011;AL;Alabama;NULL;2322;NULL;1
2011;AL;Alabama;NULL;1899;NULL;1
2011;AL;Alabama;NULL;1826;NULL;1
2011;AL;Alabama;314;361;18 - 24;1
2011;AL;Alabama;256;611;25 - 34;1
2011;AL;Alabama;238;869;35 - 44;1
2011;AL;Alabama;237;1282;45 - 54;1
2011;AL;Alabama;216;1664;55 - 64;1
2011;AL;Alabama;216;2348;65 or older;1
2011;AL;Alabama;NULL;1063;NULL;1
2011;AL;Alabama;NULL;1326;NULL;1
2011;AL;Alabama;NULL;738;NULL;1
2011;AL;Alabama;NULL;849;NULL;1
2011;AL;Alabama;NULL;793;NULL;1
2011;AL;Alabama;NULL;1137;NULL;1
2011;AL;Alabama;NULL;1229;NULL;1
2011;AL;Alabama;NULL;4913;NULL;1
2011;AL;Alabama;NULL;1853;NULL;1
2011;AL;Alabama;NULL;108;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;1869;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;63;NULL;1
2011;AL;Alabama;NULL;55;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;7191;NULL;1
2011;AL;Alabama;NULL;2441;NULL;1
2011;AL;Alabama;NULL;4750;NULL;1
2011;AL;Alabama;NULL;1118;NULL;1
2011;AL;Alabama;NULL;2326;NULL;1
2011;AL;Alabama;NULL;1921;NULL;1
2011;AL;Alabama;NULL;1813;NULL;1
2011;AL;Alabama;494;352;18 - 24;1
2011;AL;Alabama;419;611;25 - 34;1
2011;AL;Alabama;418;856;35 - 44;1
2011;AL;Alabama;NULL;1950;NULL;1
2011;AL;Alabama;393;1277;45 - 54;1
2011;AL;Alabama;168;1721;55 - 64;1
2011;AL;Alabama;402;1660;55 - 64;1
2011;AL;Alabama;434;2435;65 or older;1
2011;AL;Alabama;NULL;1061;NULL;1
2011;AL;Alabama;NULL;1346;NULL;1
2011;AL;Alabama;NULL;742;NULL;1
2011;AL;Alabama;NULL;853;NULL;1
2011;AL;Alabama;NULL;786;NULL;1
2011;AL;Alabama;NULL;1133;NULL;1
2011;AL;Alabama;NULL;1270;NULL;1
2011;AL;Alabama;NULL;4968;NULL;1
2011;AL;Alabama;NULL;1863;NULL;1
2011;AL;Alabama;NULL;107;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;64;NULL;1
2011;AL;Alabama;NULL;55;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;7145;NULL;1
2011;AL;Alabama;NULL;2424;NULL;1
2011;AL;Alabama;NULL;4721;NULL;1
2011;AL;Alabama;NULL;1111;NULL;1
2011;AL;Alabama;NULL;2307;NULL;1
2011;AL;Alabama;NULL;1905;NULL;1
2011;AL;Alabama;NULL;1810;NULL;1
2011;AL;Alabama;272;351;18 - 24;1
2011;AL;Alabama;163;608;25 - 34;1
2011;AL;Alabama;170;851;35 - 44;1
2011;AL;Alabama;124;1274;45 - 54;1
2011;AL;Alabama;95;1653;55 - 64;1
2011;AL;Alabama;107;2408;65 or older;1
2011;AL;Alabama;NULL;1055;NULL;1
2011;AL;Alabama;NULL;1339;NULL;1
2011;AL;Alabama;NULL;740;NULL;1
2011;AL;Alabama;NULL;846;NULL;1
2011;AL;Alabama;NULL;784;NULL;1
2011;AL;Alabama;NULL;1131;NULL;1
2011;AL;Alabama;NULL;1250;NULL;1
2011;AL;Alabama;NULL;4938;NULL;1
2011;AL;Alabama;NULL;1851;NULL;1
2011;AL;Alabama;NULL;106;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;63;NULL;1
2011;AL;Alabama;NULL;54;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;7152;NULL;1
2011;AL;Alabama;NULL;2429;NULL;1
2011;AL;Alabama;NULL;4723;NULL;1
2011;AL;Alabama;NULL;1111;NULL;1
2011;AL;Alabama;NULL;2307;NULL;1
2011;AL;Alabama;NULL;1916;NULL;1
2011;AL;Alabama;NULL;1805;NULL;1
2011;AL;Alabama;258;352;18 - 24;1
2012;US;National;NULL;257190;NULL;59
2011;AL;Alabama;209;609;25 - 34;1
2011;AL;Alabama;228;854;35 - 44;1
2011;AL;Alabama;221;1275;45 - 54;1
2011;AL;Alabama;235;1649;55 - 64;1
2011;AL;Alabama;287;2413;65 or older;1
2011;AL;Alabama;NULL;1054;NULL;1
2011;AL;Alabama;NULL;1338;NULL;1
2011;AL;Alabama;NULL;742;NULL;1
2011;AL;Alabama;NULL;847;NULL;1
2011;AL;Alabama;NULL;780;NULL;1
2011;AL;Alabama;NULL;1132;NULL;1
2011;AL;Alabama;NULL;1259;NULL;1
2011;AL;Alabama;NULL;4942;NULL;1
2011;AL;Alabama;NULL;1853;NULL;1
2011;AL;Alabama;NULL;106;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;64;NULL;1
2011;AL;Alabama;NULL;55;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;757;NULL;1
2011;AL;Alabama;NULL;7415;NULL;1
2011;AL;Alabama;NULL;2513;NULL;1
2011;AL;Alabama;NULL;4902;NULL;1
2011;AL;Alabama;NULL;1165;NULL;1
2011;AL;Alabama;NULL;2417;NULL;1
2011;AL;Alabama;416;365;18 - 24;1
2011;AL;Alabama;NULL;1102;NULL;1
2011;AL;Alabama;283;882;35 - 44;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;65;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;1928;NULL;1
2011;AL;Alabama;NULL;1349;NULL;1
2011;AL;Alabama;NULL;803;NULL;1
2011;AL;Alabama;NULL;57;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;113;NULL;1
2011;AL;Alabama;NULL;5099;NULL;1
2011;AL;Alabama;NULL;1158;NULL;1
2011;AL;Alabama;NULL;868;NULL;1
2011;AL;Alabama;NULL;1378;NULL;1
2011;AL;Alabama;177;2512;65 or older;1
2011;AL;Alabama;203;1312;45 - 54;1
2011;AL;Alabama;283;623;25 - 34;1
2011;AL;Alabama;NULL;7470;NULL;1
2011;AL;Alabama;NULL;2531;NULL;1
2011;AL;Alabama;NULL;4939;NULL;1
2011;AL;Alabama;NULL;1174;NULL;1
2011;AL;Alabama;NULL;2440;NULL;1
2011;AL;Alabama;NULL;1967;NULL;1
2011;AL;Alabama;NULL;1874;NULL;1
2011;AL;Alabama;225;369;18 - 24;1
2011;AL;Alabama;272;628;25 - 34;1
2011;AL;Alabama;298;887;35 - 44;1
2011;AL;Alabama;353;1316;45 - 54;1
2011;AL;Alabama;379;1729;55 - 64;1
2011;AL;Alabama;398;2541;65 or older;1
2011;AL;Alabama;NULL;1113;NULL;1
2011;AL;Alabama;NULL;1386;NULL;1
2011;AL;Alabama;NULL;760;NULL;1
2011;AL;Alabama;NULL;874;NULL;1
2011;AL;Alabama;NULL;805;NULL;1
2012;US;National;NULL;8252;NULL;59
2011;AL;Alabama;NULL;1164;NULL;1
2011;AL;Alabama;NULL;1368;NULL;1
2011;AL;Alabama;NULL;5135;NULL;1
2011;AL;Alabama;NULL;1943;NULL;1
2011;AL;Alabama;NULL;115;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2011;AL;Alabama;NULL;66;NULL;1
2011;AL;Alabama;NULL;58;NULL;1
2011;AL;Alabama;NULL;NULL;NULL;1
2012;AL;Alabama;NULL;8651;NULL;1
2012;AL;Alabama;NULL;3016;NULL;1
2012;AL;Alabama;NULL;5635;NULL;1
2012;AL;Alabama;NULL;1180;NULL;1
2012;AL;Alabama;NULL;2772;NULL;1
2012;AL;Alabama;NULL;2405;NULL;1
2012;AL;Alabama;NULL;2285;NULL;1
2012;AL;Alabama;239;363;18 - 24;1
2012;AL;Alabama;313;731;25 - 34;1
2012;AL;Alabama;341;964;35 - 44;1
2012;AL;Alabama;397;1433;45 - 54;1
2012;AL;Alabama;403;2081;55 - 64;1
2012;AL;Alabama;269;3034;65 or older;1
2012;AL;Alabama;NULL;1225;NULL;1
2012;AL;Alabama;NULL;1598;NULL;1
2012;AL;Alabama;NULL;871;NULL;1
2012;AL;Alabama;NULL;1014;NULL;1
2012;AL;Alabama;NULL;1017;NULL;1
2012;AL;Alabama;NULL;1414;NULL;1
2012;AL;Alabama;NULL;1512;NULL;1
2012;AL;Alabama;NULL;6024;NULL;1
2012;AL;Alabama;NULL;2165;NULL;1
2012;AL;Alabama;NULL;132;NULL;1
